ltla_name,ltla_code,latitude,longitude,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,21/02/2021,1st dose,75-79,3443,4786,0.719389887
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,21/02/2021,1st dose,75-79,4306,4393,0.980195766
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,21/02/2021,1st dose,75-79,3821,4809,0.794551882
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,21/02/2021,1st dose,75-79,4319,5115,0.844379277
Merton,E09000024,51.41057,-0.18867,08/12/2020,21/02/2021,1st dose,75-79,4260,4690,0.908315565
Newham,E09000025,51.53147,0.027289,08/12/2020,21/02/2021,1st dose,75-79,3319,4733,0.701246567
Redbridge,E09000026,51.58589,0.070071,08/12/2020,21/02/2021,1st dose,75-79,6041,6814,0.886557088
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,21/02/2021,1st dose,75-79,5716,5656,1.010608204
Southwark,E09000028,51.46592,-0.07306,08/12/2020,21/02/2021,1st dose,75-79,3606,4777,0.754867071
Sutton,E09000029,51.35756,-0.17227,08/12/2020,21/02/2021,1st dose,75-79,5552,5720,0.970629371
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,21/02/2021,1st dose,75-79,2397,3465,0.691774892
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,21/02/2021,1st dose,75-79,4380,5223,0.838598507
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,21/02/2021,1st dose,75-79,5022,5700,0.881052632
Westminster,E09000033,51.5122,-0.15295,08/12/2020,21/02/2021,1st dose,75-79,3951,5656,0.698550212
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/02/2021,1st dose,80+,4478,5685,0.787686895
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/02/2021,1st dose,80+,14383,16910,0.850561798
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/02/2021,1st dose,80+,11422,12831,0.890187826
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/02/2021,1st dose,80+,8798,11307,0.778102061
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/02/2021,1st dose,80+,16405,17418,0.941841773
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/02/2021,1st dose,80+,5691,8858,0.642470084
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/02/2021,1st dose,80+,12493,14802,0.844007567
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/02/2021,1st dose,80+,10341,12405,0.833615478
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/02/2021,1st dose,80+,11250,12809,0.878288703
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/02/2021,1st dose,80+,6576,7939,0.828315909
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/02/2021,1st dose,80+,4049,5950,0.680504202
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/02/2021,1st dose,80+,4114,5274,0.780053091
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/02/2021,1st dose,80+,5602,7158,0.782620844
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/02/2021,1st dose,80+,10575,11813,0.895200203
Havering,E09000016,51.56519,0.235368,08/12/2020,21/02/2021,1st dose,80+,12589,14470,0.870006911
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/02/2021,1st dose,80+,10966,12140,0.903294893
